id,nome,email,telefone,endereco,cidade,estado,data_nascimento,valor_compra,categoria_produto,forma_pagamento,status_pedido,data_pedido
1,Heloísa da Costa,novaesluiz-henrique@example.net,+55 (084) 9104-6277,"Estação de Nascimento, 36
Vila São Rafael
97792-129 da Cruz de Goiás / SP",das Neves Paulista,MS,1970-01-25,780.35,Móveis,Transferência,Em Processamento,2024-07-05 21:07:19
2,Vitória Cardoso,emoraes@example.net,81 9382 3295,"Passarela Casa Grande, 906
Santa Lúcia
41580716 Pereira do Norte / RJ",Azevedo,RN,1961-09-26,1903.89,Alimentos,Transferência,Cancelado,2025-03-25 10:00:46
3,Maria Cecília Ramos,diascatarina@example.com,71 7673 2738,"Travessa João Novaes, 41
Mirante
92106871 Alves / MA",Casa Grande,GO,1982-06-27,1477.39,Livros,Cartão de Crédito,Concluído,2025-02-03 13:01:47
4,Dom Pacheco,ana30@example.net,0300-626-1242,"Campo Montenegro, 89
Santa Lúcia
04439284 Pereira / AC",Gomes do Oeste,MA,1972-03-27,1217.38,Eletrônicos,Transferência,Em Processamento,2025-01-13 15:39:15
5,Dr. Yago Campos,maria-luisada-mota@example.net,31 1598 4292,"Vereda da Conceição
São Paulo
72229-381 da Luz de Dias / PB",Casa Grande de Goiás,ES,1944-08-27,354.24,Vestuário,Boleto,Cancelado,2025-04-29 04:18:27
6,Caroline Teixeira,claricecirino@example.org,71 6366-3142,"Alameda Sousa, 16
Tres Marias
07243426 Mendonça / TO",Campos Alegre,AP,1961-05-20,354.19,Alimentos,PIX,Em Processamento,2024-11-20 21:39:46
7,Thiago Costa,calebsampaio@example.org,(011) 7398-0234,"Residencial de Siqueira, 7
Dom Bosco
66509-537 Leão / PI",Siqueira de Minas,MT,1977-12-22,163.26,Eletrônicos,PIX,Em Processamento,2025-02-07 07:12:03
8,Sofia Garcia,laiscarvalho@example.net,0900-872-3801,"Viaduto Emanuella Rios, 4
João Paulo Ii
52749-473 Moraes Verde / SC",Cavalcanti das Pedras,AL,1974-07-03,1739.04,Eletrônicos,Boleto,Cancelado,2024-10-19 16:33:51
9,José Pedro Vasconcelos,apolloleao@example.com,+55 11 7277 4801,"Residencial de Sampaio, 449
Lagoinha
72022168 da Rosa Verde / PB",Macedo de Rodrigues,RR,1991-10-03,1222.17,Vestuário,Transferência,Entregue,2024-06-25 04:30:04
10,Maria Clara Pimenta,acorreia@example.com,(081) 7452 7263,"Lagoa de Ramos, 3
Vila Da Amizade
91942981 Monteiro do Amparo / SC",Pastor Grande,SE,1999-06-09,1430.74,Vestuário,Transferência,Concluído,2025-06-12 07:47:51
11,Rafael da Rosa,levi12@example.net,+55 41 1986 3075,"Trevo da Paz, 79
São Bento
51784-609 Macedo / SC",Nunes de Garcia,TO,1953-12-25,90.14,Móveis,Boleto,Concluído,2024-11-22 00:31:47
12,Enzo Gabriel Alves,ucaldeira@example.org,+55 (084) 2321-7030,"Viela de Cavalcante, 64
São Luiz
21418-719 Rodrigues / AP",Cassiano,MA,1955-11-14,1941.32,Livros,PIX,Em Processamento,2024-09-29 13:07:21
